,Store Number,Ownership Type,Continent,Country,City,State/Province,Longitude,Latitude,Status
0,47370-257954,Licensed,Europe,Andorra,Andorra la Vella,7,1.53,42.51,Closed
1,22331-212325,Licensed,Asia,United Arab Emirates,Ajman,AJ,55.47,25.42,Active
2,47089-256771,Licensed,Asia,United Arab Emirates,Ajman,AJ,55.47,25.39,Active
3,22126-218024,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.38,24.48,Active
4,17127-178586,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.54,24.51,Active
5,17688-182164,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.49,24.4,Active
6,18182-182165,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.49,24.4,Active
7,23359-229184,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.61,24.46,Closed
8,30781-99022,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.69,24.19,Active
9,20423-205465,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.38,24.48,Active
10,20424-205466,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.34,24.47,Active
11,1579-122101,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.49,Active
12,32595-122105,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.69,24.19,Closed
13,24191-236428,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.7,24.3,Active
14,24604-238367,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.6,24.48,Active
15,32029-110804,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.74,24.21,Active
16,29560-238539,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.34,24.47,Active
17,32239-100001,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.35,24.47,Active
18,31719-103601,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.47,Active
19,20008-200004,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.38,24.48,Active
20,32767-131566,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.51,24.42,Active
21,3886-141408,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.35,24.46,Active
22,29539-254261,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.66,24.41,Active
23,28809-251348,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.41,24.5,Active
24,34262-62540,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.32,24.47,Active
25,3178-141407,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.57,24.35,Active
26,34260-17877,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.62,24.21,Active
27,21605-213406,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.44,24.54,Active
28,1935-141406,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.34,24.47,Active
29,20113-195784,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.94,24.9,Active
30,34227-33225,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.5,Active
31,17361-180588,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.6,24.4,Active
32,15938-165686,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.77,24.48,Active
33,16453-170544,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.44,24.43,Active
34,24085-235545,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.61,24.46,Active
35,24932-239347,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.39,24.46,Active
36,18469-188844,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.39,24.43,Active
37,28810-251346,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.66,24.41,Active
38,1897-120044,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.53,23.85,Active
39,20772-207664,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.47,Active
40,2176-143834,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.52,Active
41,18530-169885,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.48,Closed
42,24931-239348,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.47,Active
43,29306-253248,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.4,24.12,Active
44,17291-169884,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.29,25.24,Active
45,32640-131563,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.65,24.19,Active
46,34332-97778,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.73,24.24,Active
47,16257-166109,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.39,25.1,Active
48,1926-141411,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.81,24.16,Active
49,24510-238164,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.69,24.21,Active
50,17788-183965,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.8,24.13,Active
51,22963-226644,Licensed,Asia,United Arab Emirates,Abu Dhabi,DU,54.47,24.41,Active
52,23197-228761,Licensed,Asia,United Arab Emirates,Abu Dhabi,DU,54.63,24.29,Closed
53,23549-231166,Licensed,Asia,United Arab Emirates,Abu Dhabi,DU,54.69,24.39,Active
54,15060-156348,Licensed,Asia,United Arab Emirates,Al Barsha,DU,55.23,25.05,Active
55,34291-80114,Licensed,Asia,United Arab Emirates,Dubai,DU,55.23,25.17,Active
56,27072-246650,Licensed,Asia,United Arab Emirates,Dubai,DU,55.6,24.78,Active
57,18751-188904,Licensed,Asia,United Arab Emirates,Dubai,DU,55.35,25.25,Closed
58,18857-187024,Licensed,Asia,United Arab Emirates,Dubai,DU,55.31,25.27,Active
59,28908-251804,Licensed,Asia,United Arab Emirates,Dubai,DU,55.16,25.1,Active
60,32250-107405,Licensed,Asia,United Arab Emirates,Dubai,DU,55.27,25.19,Closed
61,34211-17922,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.21,Active
62,34315-87671,Licensed,Asia,United Arab Emirates,Dubai,DU,55.15,25.08,Active
63,23213-228760,Licensed,Asia,United Arab Emirates,Dubai,DU,55.35,25.25,Active
64,30780-154130,Licensed,Asia,United Arab Emirates,Dubai,DU,55.2,25.12,Active
65,25406-240945,Licensed,Asia,United Arab Emirates,Dubai,DU,55.4,25.23,Active
66,32329-111864,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.19,Active
67,32741-141410,Licensed,Asia,United Arab Emirates,Dubai,DU,55.12,25.13,Active
68,17787-183964,Licensed,Asia,United Arab Emirates,Dubai,DU,55.14,25.08,Active
69,3183-143827,Licensed,Asia,United Arab Emirates,Dubai,DU,55.24,25.17,Active
70,32571-107873,Licensed,Asia,United Arab Emirates,Dubai,DU,55.13,25.07,Active
71,23973-234507,Licensed,Asia,United Arab Emirates,Dubai,DU,55.31,25.27,Active
72,32144-123448,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.19,Active
73,34219-17920,Licensed,Asia,United Arab Emirates,Dubai,DU,55.32,25.27,Active
74,32476-106835,Licensed,Asia,United Arab Emirates,Dubai,DU,55.13,25.07,Active
75,7073-204444,Licensed,Asia,United Arab Emirates,Dubai,DU,55.12,25.13,Active
76,18026-187444,Licensed,Asia,United Arab Emirates,Dubai,DU,55.23,25.19,Active
77,34284-65720,Licensed,Asia,United Arab Emirates,Dubai,DU,55.25,25.22,Active
